COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg,Region
KENAI,2418.828609221466195,124.190476190476190,18601.662887377173320,60.562274299999999,-151.207971399999991,21144.681972789116116,SCAK
KETCHIKAN,41220.920918367344711,275.545454545454561,0.000000000000000,55.357695499999998,-131.674711599999995,41496.466372912800580,SEAK
KIANA,12193.120284477427049,0.000000000000000,610.430839002267589,66.971321799999998,-160.437624499999998,12803.551123479694070,North
KING COVE,17750.190682333537552,43.909090909090907,4400.000000000000000,55.080061600000001,-162.321376200000003,22194.099773242629453,SCAK
KING ISLAND,0.000000000000000,15905.454545454545951,0.000000000000000,64.851699999999994,-166.111220000000003,15905.454545454545951,West
KING SALMON,16092.165844671202649,297.000000000000000,439.909297052154159,58.736337200000001,-156.525586099999998,16829.075141723355046,West
KIPNUK,2403.691818832796343,1108.421052631578959,0.000000000000000,59.940130300000000,-164.067409300000008,3512.112871464375530,West
KIVALINA,3966.999181153942573,3674.444444444444343,25.396825396825395,67.728579300000007,-164.539687799999996,7666.840450995212450,North
KLAWOCK,15878.845186559472495,372.272727272727252,14326.530612244898293,55.556339299999998,-133.087741300000005,30577.648526077096903,SEAK
KLUKWAN,1929.418205377389086,0.000000000000000,736.507936507936506,59.398161999999999,-135.889506500000010,2665.926141885325706,SEAK
KNIK RIVER,114.375000000000000,0.000000000000000,0.000000000000000,61.461609600000003,-149.008218499999998,114.375000000000000,SCAK
KODIAK,72478.174706246136338,345.545454545454561,37447.165532879822422,57.792316900000003,-152.404006600000002,110270.885693671414629,SCAK
KONGIGANAK,16610.849103277672839,343.636363636363626,0.000000000000000,59.964457500000002,-162.882863299999997,16954.485466914036806,West
KOTLIK,35838.261904761908227,5761.904761904761472,0.000000000000000,63.028874700000003,-163.535732099999990,41600.166666666671517,West
KOTZEBUE,45044.614795918365417,6245.909090909090992,327.891156462585002,66.870451700000004,-162.511447299999986,51618.415043290042377,North
KOYUK,12671.799999999999272,5802.000000000000000,0.000000000000000,64.939606900000001,-161.151272199999994,18473.799999999999272,West
KWIGILLINGOK,888.697017268445848,332.307692307692321,0.000000000000000,59.876315499999997,-163.158336499999990,1221.004709576138112,West
LARSEN BAY,2722.149983803044961,31.333333333333332,2776.039304610732870,57.550964499999999,-154.004902399999992,5529.522621747110861,SCAK
LEVELOCK,4962.465496804782561,1825.000000000000000,38.321995464852606,59.080210200000003,-156.905229300000002,6825.787492269635550,West
MANOKOTAK,11883.778396206967955,2248.636363636363512,1073.469387755102161,59.003785200000003,-158.995235699999995,15205.884147598433628,West
MEADOW LAKES,419.583333333333314,0.000000000000000,0.000000000000000,61.638205800000001,-149.609937000000002,419.583333333333314,SCAK
MEKORYUK,2669.071995464852534,351.000000000000000,0.000000000000000,60.370730500000001,-166.266987000000000,3020.071995464852534,West
METLAKATLA,2818.506683375104330,0.000000000000000,0.000000000000000,55.114698900000000,-131.555726200000009,2818.506683375104330,SEAK
MEYERS CHUCK,305.009537148192578,0.000000000000000,0.000000000000000,55.740830000000003,-132.256390000000010,305.009537148192578,SEAK
MOOSE PASS,154.596153846153840,0.000000000000000,0.000000000000000,60.505938499999999,-149.468363799999992,154.596153846153840,SCAK
NAKNEK,24078.762497423213063,525.000000000000000,1001.360544217686993,58.798572999999998,-156.904680000000013,25605.123041640901647,West
NANWALEK,8576.435062358275900,0.000000000000000,1483.068783068782977,59.326522500000003,-151.923902199999986,10059.503845427057968,SCAK
NAUKATI BAY,849.514424288233840,0.000000000000000,3560.997732426303628,55.877256699999997,-133.203423299999997,4410.512156714537923,SEAK
NELSON LAGOON,1320.092105263157919,39.473684210526315,0.000000000000000,55.898812700000001,-161.539712500000007,1359.565789473684163,West
