Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,(...),Study_name_clean,Study_name_cleaner
Diver,NOAA AKMAP Special Study 2007,2007,9.59,53.6167,-167.0561,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007UISKME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,52.039,53.8819,-166.5421,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007UDDHME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,Mussel Watch:Alaska 2007,2007,13.13295,58.7961,-158.53248,Blue Mussel,Mytilus spp.,mussel,Bivalvia,Mussels,Background biomonitoring,MWAK-22-2007NGEK1MM_MM,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Mussel Watch,NOAA Mussel Watch
Diver,NOAA Special Alaska Study 2007,2007,14.25,59.6145,-151.4442,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-07-SS2008CIHS1ME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA Special Alaska Study 2007,2007,2.652,59.6145,-151.4442,Pacific Littleneck Clam,Protothaca staminea,clam,Bivalvia,Clams,Background biomonitoring,1096-07-SS2008CIHS1PS,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,clam,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA Special Alaska Study 2007,2007,1.872,59.6145,-151.4442,Cockle,Clinocardium nuttallii,cockle,Bivalvia,Clams,Background biomonitoring,1096-07-SS2008CIHS1CN,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,cockle,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA Special Alaska Study 2007,2007,3.472,59.6145,-151.4442,Pacific Littleneck Clam,Protothaca staminea,clam,Bivalvia,Clams,Background biomonitoring,1096-07-SS2008CIHS2PS,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,clam,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA Special Alaska Study 2007,2007,7.308,59.6145,-151.4442,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-07-SS2008CIHS2ME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA Special Alaska Study 2007,2007,3.621,59.6145,-151.4442,Cockle,Clinocardium nuttallii,cockle,Bivalvia,Clams,Background biomonitoring,1096-07-SS2008CIHS2CN,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,cockle,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA Special Alaska Study 2007,2008,3.393,59.723,-151.027,Pacific Littleneck Clam,Protothaca staminea,clam,Bivalvia,Clams,Background biomonitoring,1096-07-SS2008CIBCPS,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,clam,NOAA AKMAP Special Study,NOAA Regional Studies
