Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,F_____,Study_name_clean,Study_name_cleaner,Region
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Walleye Pollock,Gadus chalcogrammus,cod,Chordata (Actinopterygii),Fish,,CIR-13-1384B,,ng/g,,Provided,Whole Body,,,BDL,,,,cod,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Walleye Pollock,Gadus chalcogrammus,cod,Chordata (Actinopterygii),Fish,,CIR-13-1387A,,ng/g,,Provided,Whole Body,,,BDL,,,,cod,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Walleye Pollock,Gadus chalcogrammus,cod,Chordata (Actinopterygii),Fish,,CIR-13-1387B,,ng/g,,Provided,Whole Body,,,BDL,,,,cod,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Walleye Pollock,Gadus chalcogrammus,cod,Chordata (Actinopterygii),Fish,,CIR-13-1392A,,ng/g,,Provided,Whole Body,,,BDL,,,,cod,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Walleye Pollock,Gadus chalcogrammus,cod,Chordata (Actinopterygii),Fish,,CIR-13-1392B,,ng/g,,Provided,Whole Body,,,BDL,,,,cod,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1376A,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1376B,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1378,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1391A,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1391B,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1402,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1411A,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1411B,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1416,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2012,,60.337800000000001,-151.875000000000000,Sandshrimp,Crangon septemspinosa,shrimp,Decapoda,Crabs/ Shrimp,,CIR-13-1419,,ng/g,,Provided,Whole Body,,,BDL,,,,shrimp,Mote Marine Laboratory,Mote Marine Laboratory,SCAK
Wetzel,"Dr Wetzel, Mote Marine Database",2005,,64.503900000000002,-165.399400000000014,Seal,Phocidae,pinnipeds,Chordata (Mammalia),Seals/ Whales,,PBFA-05-4703,,ng/g,,Provided,Fat,,,,,,,pinnipeds,Mote Marine Laboratory,Mote Marine Laboratory,West
Wetzel,"Dr Wetzel, Mote Marine Database",2005,,64.503900000000002,-165.399400000000014,Ringed Seal,Pusa hispida,seal,Chordata (Mammalia),Seals/ Whales,,PBFA-05-4700,,ng/g,,Provided,Fat,,,,,,,seal,Mote Marine Laboratory,Mote Marine Laboratory,West
Wetzel,"Dr Wetzel, Mote Marine Database",2005,,64.503900000000002,-165.399400000000014,Ringed Seal,Pusa hispida,seal,Chordata (Mammalia),Seals/ Whales,,PBFA-05-4701,,ng/g,,Provided,Fat,,,,,,,seal,Mote Marine Laboratory,Mote Marine Laboratory,West
Wetzel,"Dr Wetzel, Mote Marine Database",2005,,71.290599999999998,-156.788600000000002,Ringed Seal,Pusa hispida,seal,Chordata (Mammalia),Seals/ Whales,,PBFA-07-0001,,ng/g,,Provided,Fat,,,,,,,seal,Mote Marine Laboratory,Mote Marine Laboratory,North
