Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Acenaphthene	0.8	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Acenaphthylene	0.5	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Anthracene	0.9	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Benz[a]anthracene	0.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Benzo[a]pyrene	0.5	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Benzo[b]fluoranthene	0.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Benzo[e]pyrene	1	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Benzo[g,h,i]perylene	0.3	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Benzo[k]fluoranthene	0.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Biphenyl	7.8		ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C1-Chrysenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C1-Dibenzothiophenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C1-Fluoranthenes_Pyrenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C1-Fluorenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C1-Naphthalenes	15.3	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C1-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C2-Chrysenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C2-Dibenzothiophenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C2-Fluorenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C2-Naphthalenes	13.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C2-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C3-Chrysenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C3-Dibenzothiophenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C3-Fluorenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C3-Naphthalenes	17.5	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C3-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C4-Chrysenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C4-Naphthalenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	C4-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Chrysene	0.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Dibenzo[a,h]anthracene	0.3	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Dibenzothiophene	0.8	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Fluoranthene	2	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Fluorene	1.7	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Indeno[1,2,3-c,d]pyrene	0.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Naphthalene	15.6		ng/dry g	
