COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg
OUZINKIE,5368.578798185941,4.666666666666667,1512.3204837490553
PALMER,20744.542877757165,0,0
PAXSON,446.25,0,0
PEDRO BAY,11934.4610510871,0,29.931972789115644
PELICAN,1925.2615955473098,66.81818181818181,0
PERRYVILLE,9230.854903628118,0,2085.714285714286
PETERS CREEK,72.0625,0,0
PETERSBURG,105406.80292723149,140,1217801.3605442178
PETERSVILLE,31.5,0,0
PILOT POINT,2825.5526315789475,1.4736842105263157,0
PILOT STATION,38649.5,0,0
PITKAS POINT,10095.264705882353,0,0
PLATINUM,1349.6666666666667,30,0
POINT BAKER,802.9838882921589,0,1257.596371882086
POINT HOPE,28.477272727272727,19345,0
POINT LAY,9.556818181818182,21936.81818181818,0
PORT ALEXANDER,1089.1892794154699,0,0
PORT ALSWORTH,6637.368847539015,0,52.15419501133787
PORT GRAHAM,6629.752947845805,14,1246.5608465608466
PORT HEIDEN,1146.8815789473683,38.73684210526316,0
PORT LIONS,5725.953514739229,150.1818181818182,2134.2403628117913
PORT MOLLER,823.5,0,0
PORT WILLIAMS,210.88435374149657,0,0
PORTAGE CREEK,601.0178571428571,0,0
PRUDHOE BAY,40.375,0,0
QUINHAGAK,41396.80717893218,1071.3636363636363,0
RAMPART,17983.432681405895,0,136.05442176870747
RED DEVIL,7048.4473684210525,0,0
ROWAN BAY,54,0,0
RUBY,25010.529081632652,0,29.931972789115644
RUSSIAN MISSION,26479.20588235294,0,0
SALCHA,3826.3815789473683,0,0
SAND POINT,19579.065084764065,39.04761904761905,4894.7845804988665
SAVOONGA,1848.8741932670505,269994.6153846154,0
SAXMAN,970.1806722689075,0,0
SCAMMON BAY,15447.543212739642,4074.5454545454545,0
SECURITY BAY,340,0,0
SELAWIK,10521.667120181406,0,0
SELDOVIA,4715.933646474463,14,4788.057445200302
SEWARD,681.5209492888064,0.6363636363636364,0
SHAGELUK,15039.336230788611,0,0
SHAKTOOLIK,20124.727272727272,9070.90909090909,0
SHISHMAREF,2887.985544217687,14941.57142857143,774.6031746031746
SHUNGNAK,22369.699494949495,0,0
SITKA,86139.9553700268,1086.6363636363637,111185.03401360544
SKAGWAY,723.3768424036281,0,0
SKWENTNA,680.6607142857143,0,0
SLANA,4850.312556689342,0,960.0907029478458
SLEETMUTE,14861.526315789473,0,0
SOLDOTNA,1105.7216836734694,0,0
SOURDOUGH,394.5,0,0
SOUTH NAKNEK,6720.824561403509,0,103.6281179138322
ST. GEORGE,717.9138321995465,0,87.98185941043084
ST. MARYS,45123.60294117647,0,0
ST. MICHAELS,11214.613636363636,4799.545454545455,0
ST. PAUL,2427.709467120181,0,407.70975056689343
STEBBINS,19715.329545454544,7875,0
STERLING,229.1330409356725,0,0
STEVENS VILLAGE,16662.69887955182,0,0
STONY RIVER,9468.764705882353,0,0
SUTTON-ALPINE,1433.3026315789473,0,0
TAKOTNA,241.96428571428572,0,0
TALKEETNA,617.3815789473684,0,0
TANACROSS,540.9870323129252,0,0
TANANA,115738.02614379085,0,0
TATITLEK,1861.0427374653564,14,312.65306122448976
TAZLINA,3925.25,0,0
TELIDA,600,0,0
TELLER,10334.764705882353,508.2352941176471,0
TENAKEE SPRINGS,828.9054232804233,0,0
TETLIN,1631.1003401360542,0,0
THORNE BAY,5411.1104875283445,0,6209.523809523809
TOGIAK,16141.197250566893,1027.5,1039.0022675736961
TOK,13554.824319727892,0,724.7165532879818
TOKSOOK BAY,6496.962791177077,2332.2727272727275,0
TOLSONA,647.625,0,0
TONSINA,1120.75,0,0
TRAPPER CREEK,202.03571428571428,0,0
TULUKSAK,49080.443967060506,0,2.7210884353741496
TUNTUTULIAK,55565.7676366843,0,0
TUNUNAK,3778.7895408163263,135,0
TWIN HILLS,648.1248299319728,540,131.51927437641723
TWO RIVERS,985.75,0,0
TYONEK,10973.031477503282,0,112.47165532879818
UGANIK BAY,24,0,0
UGASHIK,1274.109375,0.875,0
UNALAKLEET,56084.5,6047.619047619048,0
UNALASKA,13947.350992063492,0,22738.77551020408
UPPER KALSKAG,62483.78947368421,0,0
VALDEZ,14003.743815708101,504.6363636363636,7874.074074074074
VENETIE,10364.500881834216,0,0
VOZNESENKA,4669.841269841269,0,410.88435374149657
WAINWRIGHT,41.19444444444444,21302.777777777777,0
WALES,433.72072162198214,5022.941176470588,1607.7097505668933
WASILLA,32832.59021335807,0,0
WHALE PASS,462.19795918367345,0,3785.9410430839
WHITE MOUNTAIN,12073.902777777777,1925,0
WHITESTONE LOGGING CAMP,765.9863945578231,0,1520.6349206349205
WHITTIER,398.1848508634223,0,1131.5192743764171
WILLOW,1594.5,0,0
WISEMAN,130.32414965986393,0,0
WRANGELL,10681.70270489148,53.333333333333336,0
YAKUTAT,33618.580447330445,377.3636363636364,15621.315192743763
YES BAY,900,0,0
