COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg
HEALY LAKE,424.3579931972789,0,0,64.0104574,-144.6786575,424.3579931972789
HOLLIS,778.2170493197278,0,3741.4965986394554,55.5184905,-132.7447917,4519.713647959184
HOLY CROSS,30422.042487170307,0,0,62.1870138,-159.8560763,30422.042487170307
HOMER,2841.865491651206,95.81818181818181,0,59.6399849,-151.5112337,2937.683673469388
HOONAH,13758.830473098331,207.45454545454547,24028.1179138322,58.1108198,-135.4254709,37994.40293238508
HOOPER BAY,29706.191501997626,17322.85714285714,0,61.535469,-166.1217353,47029.04864485477
HOPE,161.25862487852285,0,275.28344671201813,60.8861245,-149.6329912,436.542071590541
HOUSTON,365.59722222222223,0,0,61.6165147,-149.7717694,365.59722222222223
HUGHES,5934.833297902494,0,0,66.044722,-154.2371753,5934.833297902494
HUSLIA,15073.735294117647,0,0,65.7069705,-156.3058074,15073.735294117647
HYDABURG,10099.033419717092,122,18454.42176870748,55.2041202,-132.818341,28675.455188424574
HYDER,713.4552154195011,0,0,55.9833128,-130.0418415,713.4552154195011
IGIUGIG,3592.3169217687073,605,0,59.305274,-155.8673232,4197.316921768707
ILIAMNA,22989.70742900335,654.7619047619048,99.31972789115645,59.7790384,-154.8752787,23743.78906165641
IVANOF BAY,2418.75,0,0,55.9181993,-159.4932984,2418.75
JUNEAU,25126.708668315812,120.27272727272727,0,58.3727004,-134.1787807,25246.98139558854
KAKE,11151.953231292517,57.90909090909091,7477.097505668934,56.9776983,-133.9043928,18686.95982787054
KAKTOVIK,1734.875650260104,1146.4705882352941,0,70.1212069,-143.6295306,2881.346238495398
KALTAG,56756.878818193945,0,0,64.3138233,-158.7797265,56756.878818193945
KARLUK,945.2628384687208,0,309.297052154195,57.5903758,-154.3649485,1254.5598906229159
KASAAN,902.9921714717633,14,1212.6984126984128,55.5561001,-132.3993878,2129.690584170176
KASIGLUK,16794.029411764706,0,0,60.8640561,-162.5378634,16794.029411764706
KASILOF,644.4065255731922,0,0,60.3220828,-151.2292457,644.4065255731922
KENAI,2418.828609221466,124.19047619047619,18601.662887377173,60.5622743,-151.2079714,21144.681972789116
KENNY LAKE,4259.821428571428,0,0,61.6271712,-144.8629762,4259.821428571428
KETCHIKAN,41220.920918367345,275.54545454545456,0,55.3576955,-131.6747116,41496.4663729128
KIANA,12193.120284477427,0,610.4308390022676,66.9713218,-160.4376245,12803.551123479694
KING COVE,17750.190682333538,43.90909090909091,4400,55.0800616,-162.3213762,22194.09977324263
KING ISLAND,0,15905.454545454546,0,64.8517,-166.11122,15905.454545454546
KING SALMON,16092.165844671203,297,439.90929705215416,58.7363372,-156.5255861,16829.075141723355
KIPNUK,2403.6918188327963,1108.421052631579,0,59.9401303,-164.0674093,3512.1128714643755
KIVALINA,3966.9991811539426,3674.4444444444443,25.396825396825395,67.7285793,-164.5396878,7666.840450995212
KLAWOCK,15878.845186559472,372.27272727272725,14326.530612244898,55.5563393,-133.0877413,30577.648526077097
KLUKWAN,1929.418205377389,0,736.5079365079365,59.398162,-135.8895065,2665.9261418853257
KNIK RIVER,114.375,0,0,61.4616096,-149.0082185,114.375
KOBUK,5620.575,0,0,66.9240917,-156.9046795,5620.575
KODIAK,72478.17470624614,345.54545454545456,37447.16553287982,57.7923169,-152.4040066,110270.88569367141
KOKHANOK,31773.929004935308,0,146.48526077097503,59.4133374,-154.7474517,31920.414265706284
KOLIGANEK,18477.867772108842,0,0,59.6965804,-157.2249515,18477.867772108842
KONGIGANAK,16610.849103277673,343.6363636363636,0,59.9644575,-162.8828633,16954.485466914037
KOTLIK,35838.26190476191,5761.9047619047615,0,63.0288747,-163.5357321,41600.16666666667
KOTZEBUE,45044.614795918365,6245.909090909091,327.891156462585,66.8704517,-162.5114473,51618.41504329004
KOYUK,12671.8,5802,0,64.9396069,-161.1512722,18473.8
KOYUKUK,14819.54361744698,0,0,64.9022781,-157.6943029,14819.54361744698
KWETHLUK,102943.6998015873,0,4.988662131519274,60.7910702,-161.4267765,102948.68846371882
KWIGILLINGOK,888.6970172684458,332.3076923076923,0,59.8763155,-163.1583365,1221.004709576138
LAKE LOUISE,290.25,0,0,62.2969452,-146.5318448,290.25
LAKE MINCHUMINA,1475.4760285066407,0,0,63.7901173,-152.462155,1475.4760285066407
LARSEN BAY,2722.149983803045,31.333333333333332,2776.039304610733,57.5509645,-154.0049024,5529.522621747111
LEVELOCK,4962.465496804783,1825,38.321995464852606,59.0802102,-156.9052293,6825.787492269636
LIME VILLAGE,7020.93567649282,0,0,61.3481833,-155.3744025,7020.93567649282
LOWER KALSKAG,33585.56578947369,0,0,61.5158128,-160.3576352,33585.56578947369
MANLEY HOT SPRINGS,27162.306941295035,0,0,65.0187573,-150.6452806,27162.306941295035
MANOKOTAK,11883.778396206968,2248.6363636363635,1073.4693877551022,59.0037852,-158.9952357,15205.884147598434
MARSHALL,37529.04257999496,0,0,61.881129,-162.0608417,37529.04257999496
MCCARTHY,484.97058823529414,0,0,61.453957,-142.864693,484.97058823529414
MCGRATH,13348.763157894737,0,0,62.938077,-155.5485557,13348.763157894737
MCKINLEY PARK,39.375,0,0,63.5728698,-148.6734495,39.375
MEADOW LAKES,419.5833333333333,0,0,61.6382058,-149.609937,419.5833333333333
MEKORYUK,2669.0719954648525,351,0,60.3707305,-166.266987,3020.0719954648525
MENDELTNA,305.5,0,0,62.1467396,-146.7611263,305.5
MENTASTA LAKE,929.391050170068,0,389.1156462585034,63.0222062,-143.5073647,1318.5066964285713
METLAKATLA,2818.5066833751043,0,0,55.1146989,-131.5557262,2818.5066833751043
MEYERS CHUCK,305.0095371481926,0,0,55.74083,-132.25639,305.0095371481926
MINTO,9323.402027477658,0,0,65.0896401,-149.5902204,9323.402027477658
MOOSE CREEK,75.58333333333333,0,0,64.7163687,-147.1666273,75.58333333333333
MOOSE PASS,154.59615384615384,0,0,60.5059385,-149.4683638,154.59615384615384
MOUNTAIN VILLAGE,51912.04440665155,0,0,62.0944476,-163.7153392,51912.04440665155
NABESNA,190.85714285714286,0,0,62.4515707,-142.9345972,190.85714285714286
NAKNEK,24078.762497423213,525,1001.360544217687,58.798573,-156.90468,25605.1230416409
NANWALEK,8576.435062358276,0,1483.068783068783,59.3265225,-151.9239022,10059.503845427058
NAPAKIAK,42257.669784580496,0,0,60.6828961,-161.9989635,42257.669784580496
NAPASKIAK,64766.25,0,0,60.697551,-161.7488913,64766.25
NAUKATI BAY,849.5144242882338,0,3560.9977324263036,55.8772567,-133.2034233,4410.512156714538
NELCHINA,273.4166666666667,0,0,62.0098565,-146.829712,273.4166666666667
NELSON LAGOON,1320.092105263158,39.473684210526315,0,55.8988127,-161.5397125,1359.5657894736842
NENANA,51811.238512949036,0,0,64.5379033,-149.0718512,51811.238512949036
NEW STUYAHOK,45603.60643424036,0,39.909297052154194,59.4855495,-157.3081091,45643.515731292515
NEWHALEN,11374.637154861945,226.47058823529412,187.07482993197277,59.7368595,-154.9007703,11788.182573029211
NEWTOK,881.2354875283446,109,0,60.9350524,-164.6459006,990.2354875283446
NIGHTMUTE,1846.06021218011,0,0,60.4642837,-164.8367146,1846.06021218011
NIKISKI,464.8812358276644,0,0,60.7249883,-151.2240236,464.8812358276644
NIKOLAEVSK,348.702947845805,0,404.53514739229024,59.8295526,-151.5963815,753.2380952380952
NIKOLAI,5223.248746867168,0,2.7210884353741496,62.9985295,-154.3746102,5225.969835302542
NIKOLSKI,525.3968253968254,0,92.06349206349206,52.9994165,-168.7397489,617.4603174603175
NINILCHIK,1209.9795378468848,12,5368.253968253968,60.0622461,-151.4041772,6590.2335061008525
NOATAK,12954.735914878773,0,15.64625850340136,67.5894974,-163.0103322,12970.382173382173
NOME,18047.461167800455,4088.181818181818,0,64.5057356,-165.4153072,22135.642985982275
NONDALTON,25282.12509448224,0,29.47845804988662,59.9765566,-154.8639208,25311.603552532124
NOORVIK,27431.25,0,0,66.8271823,-161.029203,27431.25
NORTH POLE,32257.67105263158,0,0,64.7527282,-147.3626554,32257.67105263158
NORTHWAY,1864.8832199546484,0,0,62.9598341,-141.8373954,1864.8832199546484
NUCHEK,0,149.33333333333334,0,60.33333,-146.65528,149.33333333333334
NUIQSUT,5797.278911564626,471.42857142857144,0,70.2171016,-150.9955451,6268.707482993197
NULATO,41339.71308893928,0,0,64.6898721,-158.2837695,41339.71308893928
NUNAM IQUA,10993.2,3300,0,62.5065349,-164.900384,14293.2
NUNAPITCHUK,60943.02695893172,0,0,60.8802662,-162.4602782,60943.02695893172
OLD HARBOR,3896.080498866213,52.81818181818182,2768.405139833711,57.22004,-153.3304978,6717.303820518106
OLIKTOK LRRS AIRPORT,43.75,0,0,70.49971,-149.87953,43.75
OSCARVILLE,16486.76894617496,0,0,60.7234283,-161.7875078,16486.76894617496
OUZINKIE,5368.578798185941,4.666666666666667,1512.3204837490553,57.9250582,-152.4616558,6885.565948601663
PALMER,20744.542877757165,0,0,61.597369,-149.1147635,20744.542877757165
